"Category","Name","Description","Index","PointType"
"Input","BldgPress","Building Pressure","111","HardwareInput"
"Input","EconMode","Economizer Mode","12","BinaryValue"
"Input","FltrDiffPress","Filter Differential Pressure","105","HardwareInput"
"Input","MATemp","Mixed Air Temperature","102","HardwareInput"
"Input","OAEnth","Outside Air Enthalpy","12","AnalogValue"
"Input","OAHum","Outside Air Humidity","2","AnalogValue"
"Input","OATemp","Outside Air Temperature","1","AnalogValue"
"Input","OccSts","Occupancy Status","1","MultiStateValue"
"Input","RACO2","Return Air CO2","104","HardwareInput"
"Input","RATemp","Return Air Temperature","103","HardwareInput"
"Input","SADuctPress","Supply Air Duct Pressure ","106","HardwareInput"
"Input","SATemp","Supply Air Temperature","101","HardwareInput"
"Input","SFSts","Supply Fan Status","107","HardwareInput"
"Output","AftrHrsCmd","After Hours Command","8","BinaryValue"
"Output","CHWVlv","Chilled Water Valve Command","106","HardwareOutput"
"Output","CooldownCmd","Cooldown Command","5","BinaryValue"
"Output","EffDmprEnbl","Effective Damper Enable","9","BinaryValue"
"Output","EffSysEnbl","Effective System Enable","6","BinaryValue"
"Output","OADmpr","Outside Air Damper Command","103","HardwareOutput"
"Output","OccCmd","Occupied Command","1","BinaryValue"
"Output","RADmpr","Return Air Damper Command","104","HardwareOutput"
"Output","RlfDmpr","Relief Air Damper Command","105","HardwareOutput"
"Output","SFCmd","Supply Fan Command","101","HardwareOutput"
"Output","SFSpd","Supply Fan Speed Signal","102","HardwareOutput"
"Output","UnitShtdwnCmd","Unit Shutdown Command","7","BinaryValue"
"Output","WarmupCmd","Warmup Command","4","BinaryValue"
"Setpoint","BldgPressPid","Building Pressure PID","3","PidLoop"
"Setpoint","BldgPressPidKi","Integral Constant","17","AnalogValue"
"Setpoint","BldgPressPidKp","Proportional Constant","16","AnalogValue"
"Setpoint","BldgPressStpt","Room Pressure Setpoint","15","AnalogValue"
"Setpoint","EconEnblOAEnthStpt","Outside Air Enthalpy Setpoint for Economizer Operation","13","AnalogValue"
"Setpoint","EconEnblOATempStpt","Econ mode Enable OA Temperature Setpoint","14","AnalogValue"
"Setpoint","EconMATemploLimPidKp","Proportional Constant","18","AnalogValue"
"Setpoint","EconMATempLow LimitPidKi","Integral Constant","22","AnalogValue"
"Setpoint","EconMATLowLimitPid","Mixed Air Temperature Low Limit Contrl PID for Economizer Operation","5","PidLoop"
"Setpoint","FrzstatAlrm","Freezestat Alarm","109","HardwareInput"
"Setpoint","MATempLoLimStpt","Mixed Air Temperature Low Limit Setpoint","23","AnalogValue"
"Setpoint","NHLCmd","Night High Limit Command","2","BinaryValue"
"Setpoint","NHLEnblOATempStpt","NHL Enable OA Temperature Setpoint","21","AnalogValue"
"Setpoint","NLLCmd","Night Low Limit Command","3","BinaryValue"
"Setpoint","OADmprMinPosStpt","Outside AIr Minimum Position Setpoint","19","AnalogValue"
"Setpoint","RASmkAlrm","Return Air Smoke Alarm","110","HardwareInput"
"Setpoint","RlfDmprDisblOATempStpt","Relief damper Disable OA Temperature Setpoint","20","AnalogValue"
"Setpoint","SADuctPressPID","Supply Duct Static Pressure PID","1","PidLoop"
"Setpoint","SADuctPressPIDKi","Integral Constant","5","AnalogValue"
"Setpoint","SADuctPressPIDKp","Proportional Constant","4","AnalogValue"
"Setpoint","SADuctPressStpt","Supply Air Duct Static Pressure Setpoint","7","AnalogValue"
"Setpoint","SATempClgPID","Supply Air Temperature Cooling PID","2","PidLoop"
"Setpoint","SATempClgPIDKi","Integral Constant for Supply Temperature Cooling PID","9","AnalogValue"
"Setpoint","SATempClgPIDKp","Proportional Constant for Supply Temperature Cooling PID","8","AnalogValue"
"Setpoint","SATempStpt","Supply Air Duct Temperature Setpoint","11","AnalogValue"
"Setpoint","SFAlrmDly","Supply Fan Alarm Delay","10","AnalogValue"
"Setpoint","SFFailAlrm","","10","BinaryValue"
"Setpoint","SFHandAlrm","","11","BinaryValue"
"Setpoint","SFHiStatAlrm","Supply Fan High Static Alarm","108","HardwareInput"
"Setpoint","SFMinSpdStpt","Supply Fan Minimum Speed Setpoint","6","AnalogValue"
"Setpoint","SFOffDly","Supply Fan Off Delay","3","AnalogValue"
